finishing_position;horse_number;horse_name;horse_id;jockey;trainer;actual_weight;declared_horse_weight;draw;running_position_1;running_position_2;running_position_3;finish_time;finish_time_seconds;race_id;father;mother;gfather
5;4;JOYFUL MOMENTS;T134;O Doleuze;R Gibson;126;1068;9;8;6;5;1.10.86;70,086;2014-275;SEQUALO;CHEER GIRL;CELESTIAL DANCER
2;6;JUGAH;H_GFATH_042;Legacy Jockey;Legacy Trainer;128;1164;2;5;7;6;2.09;139;1998-645;NEARCO;DAM OF JUGAH;HYPERION
5;3;JUMBO HAPPINESS;V315;B Prebble;C Fownes;130;1083;10;12;11;5;0.58.25;58,025;2016-099;FASTNET ROCK;TASHZARA;INTIKHAB
1;3;JUMBO HAPPINESS;V315;C Y Ho;C Fownes;129;1081;1;3;3;1;1.09.95;69,095;2016-531;FASTNET ROCK;TASHZARA;INTIKHAB
1;4;JUMBO HAPPINESS;V315;C Y Ho;C Fownes;125;1075;1;5;5;1;1.10.45;70,045;2016-491;FASTNET ROCK;TASHZARA;INTIKHAB
3;7;JUMBO HAPPINESS;V315;C Y Ho;C Fownes;120;1072;9;9;9;3;1.10.48;70,048;2016-567;FASTNET ROCK;TASHZARA;INTIKHAB
3;3;JUMBO HAPPINESS;V315;C Y Ho;C Fownes;129;1079;6;10;9;3;1.10.79;70,079;2016-226;FASTNET ROCK;TASHZARA;INTIKHAB
5;1;JUMBO HAPPINESS;V315;B Prebble;C Fownes;133;1079;3;9;6;5;1.10.90;70,09;2016-289;FASTNET ROCK;TASHZARA;INTIKHAB
11;3;JUMBO HAPPINESS;V315;B Prebble;C Fownes;131;1094;12;12;11;11;1.10.95;70,095;2016-030;FASTNET ROCK;TASHZARA;INTIKHAB
8;7;JUMBO HAPPINESS;V315;B Prebble;C Fownes;128;1078;5;9;10;8;1.10.97;70,097;2016-367;FASTNET ROCK;TASHZARA;INTIKHAB
7;6;JUNZI;V274;N Callan;W Y So;125;997;10;9;9;7;0.57.72;57,072;2016-653;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
6;3;JUNZI;V274;N Callan;W Y So;130;970;7;7;7;6;0.57.90;57,09;2016-510;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
1;9;JUNZI;V274;N Callan;W Y So;125;1007;11;9;7;1;0.57.94;57,094;2016-099;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
8;7;JUNZI;V274;O Bosson;W Y So;125;975;5;9;9;8;0.58.38;58,038;2015-698;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
9;4;JUNZI;V274;N Callan;W Y So;132;975;6;8;7;9;1.10.38;70,038;2016-392;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
8;2;JUNZI;V274;N Callan;W Y So;131;995;7;11;11;8;1.10.74;70,074;2016-709;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
10;6;JUNZI;V274;B Prebble;W Y So;124;979;1;6;7;10;1.10.91;70,091;2016-792;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
8;4;JUNZI;V274;N Callan;W Y So;131;988;11;10;9;8;1.11.08;71,008;2016-246;RED GIANT;QUALITY DREAM;ELUSIVE QUALITY
1;11;JUST A DREAM;H_MOTH_202;W. Buick;M. Johnston;121;1051;4;6;3;3;1.39;98;2008-497;VOLKSRAAD;DAM OF JUST A DREAM;MR. PROSPECTOR
2;4;KANTHAROS;H_FATH_035;R. Moore;John Gosden;126;1119;4;2;1;3;1.41;107;2009-184;SADLER'S WELLS;DAM OF KANTHAROS;BOLD RULER
3;8;KATE OF CLONMEL;H_MOTH_147;O. Murphy;Sir Michael Stoute;121;1031;3;6;3;1;1.41;105;2010-376;BIANCONI;DAM OF KATE OF CLONMEL;SECRETARIAT
1;3;KATHY O'REILLY;H_MOTH_086;O. Murphy;W. Haggas;121;1085;7;1;1;1;1.46;112;2008-348;O'REILLY;DAM OF KATHY O'REILLY;MR. PROSPECTOR
7;11;KEEP MOVING;A124;N Callan;P F Yiu;121;1088;1;1;6;7;0.56.75;56,075;2016-705;LINDA'S LAD;KEEPING GOLD;GOLDNEYEV
1;2;KEEP MOVING;A124;U Rispoli;P F Yiu;132;1086;13;3;1;1;0.56.88;56,088;2016-590;LINDA'S LAD;KEEPING GOLD;GOLDNEYEV
2;3;KEEP MOVING;A124;N Callan;P F Yiu;130;1090;12;3;1;2;0.57.22;57,022;2016-444;LINDA'S LAD;KEEPING GOLD;GOLDNEYEV
1;6;KEEP MOVING;A124;N Callan;P F Yiu;126;1104;12;2;2;1;0.58.15;58,015;2016-352;LINDA'S LAD;KEEPING GOLD;GOLDNEYEV
8;1;KEEP MOVING;A124;N Callan;P F Yiu;133;1072;11;3;4;8;1.10.91;70,091;2016-522;LINDA'S LAD;KEEPING GOLD;GOLDNEYEV
6;3;KEEPER;H_GFATH_090;Legacy Jockey;Legacy Trainer;128;1113;2;2;6;6;2.15;139;2001-604;FRANKEL;PORTODORA;KINGMAMBO
6;8;KEEPERINTHEMYST;H_MOTH_109;O. Murphy;Sir Michael Stoute;121;1030;10;1;2;3;1.36;103;2010-416;KEEPER;DAM OF KEEPERINTHEMYST;SECRETARIAT
1;1;KEEPING GOLD;H_MOTH_022;W. Buick;Sir Michael Stoute;121;1053;11;2;5;4;1.54;115;2011-316;GOLDNEYEV;DAM OF KEEPING GOLD;MR. PROSPECTOR
6;10;KENDOR;H_GFATH_141;Legacy Jockey;Legacy Trainer;128;1130;10;4;4;5;2.08;131;2004-832;NATIVE DANCER;DAM OF KENDOR;NASRULLAH
5;10;KIM POSSIBLE;H_MOTH_153;J. Doyle;Sir Michael Stoute;121;1057;8;4;5;4;1.36;97;2007-444;VOLKSRAAD;DAM OF KIM POSSIBLE;SECRETARIAT
8;5;KING CUGAT;H_GFATH_113;Legacy Jockey;Legacy Trainer;128;1101;7;5;5;2;2.00;137;2005-792;NATIVE DANCER;DAM OF KING CUGAT;NASRULLAH
3;5;KING LUNA;H_MOTH_138;W. Buick;M. Johnston;121;1067;2;5;1;2;1.42;120;2012-565;KING'S BEST;DAM OF KING LUNA;MR. PROSPECTOR
2;12;KINGDOM BAY;H_GFATH_039;Legacy Jockey;Legacy Trainer;128;1119;1;8;6;3;2.01;122;2004-638;NATIVE DANCER;DAM OF KINGDOM BAY;NASRULLAH
1;8;KINGMAN;H_FATH_130;L. Dettori;John Gosden;126;1090;9;2;1;1;1.57;109;2007-212;NORTHERN DANCER;DAM OF KINGMAN;NEARCO
3;9;KING'S BEST;H_GFATH_010;Legacy Jockey;Legacy Trainer;128;1178;1;1;6;2;2.16;135;2004-854;NEARCO;DAM OF KING'S BEST;HYPERION
9;5;KING'S MAN;V156;G Lerena;P F Yiu;126;1119;12;11;12;9;1.10.08;70,008;2015-688;IFFRAAJ;RUQQAYA;VAN NISTELROOY
9;4;KIRAM;T093;N Rawiller;D E Ferraris;131;1111;12;12;9;9;1.09.14;69,014;2014-493;ELUSIVE CITY;KING LUNA;KING'S BEST
9;7;KIRAM;T093;M Demuro;D E Ferraris;117;1133;2;8;8;9;1.10.15;70,015;2014-334;ELUSIVE CITY;KING LUNA;KING'S BEST
9;1;KIRAM;T093;A Suborics;D E Ferraris;133;1106;14;12;9;9;1.10.95;70,095;2014-523;ELUSIVE CITY;KING LUNA;KING'S BEST
12;7;KIRAM;T093;M Guyon;D E Ferraris;120;1131;8;11;11;12;1.11.03;71,003;2014-390;ELUSIVE CITY;KING LUNA;KING'S BEST
3;8;KISS 'N CHASE;H_MOTH_105;J. Doyle;Sir Michael Stoute;121;1058;10;5;1;2;1.45;98;2009-423;RED RANSOM;DAM OF KISS 'N CHASE;SECRETARIAT
5;12;KNOW HEIGHTS;H_GFATH_106;Legacy Jockey;Legacy Trainer;128;1110;4;3;4;1;2.03;122;2001-843;NEARCO;DAM OF KNOW HEIGHTS;HYPERION
6;4;KRESTENA;H_MOTH_188;J. Doyle;Sir Michael Stoute;121;1054;11;4;5;1;1.59;119;2008-305;KENDOR;DAM OF KRESTENA;MR. PROSPECTOR
4;7;KRYSIA;H_MOTH_201;W. Buick;Sir Michael Stoute;121;1088;4;6;3;1;1.45;119;2010-572;ELVSTROEM;DAM OF KRYSIA;SECRETARIAT
3;11;KWAICHUNG BROTHERS;A012;M Chadwick;R Gibson;115;1133;10;6;5;3;0.57.57;57,057;2016-510;RACER'S EDGE;SHEZGONEWEST;MUGHARREB
5;11;KWAICHUNG BROTHERS;A012;T H So;R Gibson;114;1140;3;11;11;5;0.57.90;57,09;2016-474;RACER'S EDGE;SHEZGONEWEST;MUGHARREB
11;7;KWAICHUNG BROTHERS;A012;D Whyte;R Gibson;127;1152;5;9;8;11;0.58.34;58,034;2016-214;RACER'S EDGE;SHEZGONEWEST;MUGHARREB
5;11;KWAICHUNG BROTHERS;A012;C Schofield;R Gibson;115;1139;1;4;3;5;1.11.00;71;2016-564;RACER'S EDGE;SHEZGONEWEST;MUGHARREB
6;5;LA FASCINANTE;H_MOTH_114;O. Murphy;M. Johnston;121;1054;9;6;1;2;1.59;120;2009-511;LODE;DAM OF LA FASCINANTE;MR. PROSPECTOR
2;9;LA SERENISSIME;H_MOTH_073;J. Doyle;Sir Michael Stoute;121;1087;1;1;1;1;1.48;99;2010-419;MACHIAVELLIAN;DAM OF LA SERENISSIME;SECRETARIAT
2;9;LA VIE EN FLEURS;H_MOTH_055;O. Murphy;W. Haggas;121;1027;9;4;3;1;1.47;103;2010-302;STAY GOLD;DAM OF LA VIE EN FLEURS;SECRETARIAT
6;3;LACANDONA;H_MOTH_124;W. Buick;M. Johnston;121;1021;10;6;2;4;1.46;118;2012-410;SEPTIEME CIEL;DAM OF LACANDONA;MR. PROSPECTOR
2;6;LADY JAGUAR;H_MOTH_199;J. Doyle;Sir Michael Stoute;121;1030;8;3;2;3;1.55;96;2010-303;LAST TYCOON;DAM OF LADY JAGUAR;SECRETARIAT
4;6;LADY'S LIGHT;H_MOTH_043;J. Doyle;W. Haggas;121;1032;11;2;1;2;1.48;115;2007-544;TOOLIGHTTOQUIT;DAM OF LADY'S LIGHT;SECRETARIAT
8;12;LANDO;H_GFATH_089;Legacy Jockey;Legacy Trainer;128;1125;4;4;7;3;2.06;127;2001-704;NATIVE DANCER;DAM OF LANDO;NASRULLAH
3;3;LANGS LASH;H_MOTH_042;W. Buick;M. Johnston;121;1050;4;1;5;2;1.55;102;2012-327;NOVERRE;DAM OF LANGS LASH;MR. PROSPECTOR
7;1;LAST TYCOON;H_GFATH_142;Legacy Jockey;Legacy Trainer;128;1104;5;1;5;2;2.09;120;2005-754;NEARCO;DAM OF LAST TYCOON;HYPERION
2;1;LEIGH VALLEY;H_MOTH_171;O. Murphy;Sir Michael Stoute;121;1074;2;3;5;4;1.41;98;2010-314;BIANCONI;DAM OF LEIGH VALLEY;SECRETARIAT
9;5;LET'S TAKE IT EASY;A140;M L Yeung;C Fownes;127;985;10;12;12;9;0.58.25;58,025;2016-387;STREET BOSS;VOGUE BEAUTY;ARENA
7;8;LET'S TAKE IT EASY;A140;K K Chiong;L Ho;112;990;10;10;9;7;0.58.46;58,046;2016-677;STREET BOSS;VOGUE BEAUTY;ARENA
11;9;LET'S TAKE IT EASY;A140;K K Chiong;L Ho;119;986;1;9;9;11;1.10.63;70,063;2016-615;STREET BOSS;VOGUE BEAUTY;ARENA
9;5;LET'S TAKE IT EASY;A140;H W Lai;L Ho;129;992;7;8;6;9;1.10.72;70,072;2016-534;STREET BOSS;VOGUE BEAUTY;ARENA
4;3;LETTER FROM FRANCE;H_MOTH_164;O. Murphy;M. Johnston;121;1029;4;3;3;2;1.55;97;2007-472;EXCEED AND EXCEL;DAM OF LETTER FROM FRANCE;MR. PROSPECTOR
10;5;LIGHTNING MISSILE;A281;O Doleuze;K L Man;125;1153;5;12;8;10;0.57.95;57,095;2016-715;SMART MISSILE;VENETIAN LADY;WOODMAN
5;3;LIKE THE WIND;H_MOTH_017;J. Doyle;Sir Michael Stoute;121;1028;5;4;4;4;1.59;108;2010-595;DEPUTY GOVERNOR;DAM OF LIKE THE WIND;SECRETARIAT
1;7;LI'L MISS HAYLEY;H_MOTH_179;W. Buick;Sir Michael Stoute;121;1032;2;5;1;3;1.52;106;2010-511;SAVABEEL;DAM OF LI'L MISS HAYLEY;SECRETARIAT
1;3;LINDA'S LAD;H_FATH_022;R. Moore;A. P. O'Brien;126;1129;5;4;3;2;1.57;118;2009-300;NORTHERN DANCER;DAM OF LINDA'S LAD;NEARCO
4;7;LINE OF FLIGHT;H_MOTH_024;O. Murphy;W. Haggas;121;1046;6;5;2;3;1.57;105;2008-477;BLETCHLEY PARK;DAM OF LINE OF FLIGHT;MR. PROSPECTOR
4;3;LION HUNTER;H_GFATH_033;Legacy Jockey;Legacy Trainer;128;1166;2;3;4;5;2.17;132;2003-648;NATIVE DANCER;DAM OF LION HUNTER;NASRULLAH
4;2;LITTLE DEVIL;V339;M Chadwick;K W Lui;130;1132;11;5;5;4;1.10.67;70,067;2016-290;AMERICAN DEVIL;MARBLE GAME;ORPEN
11;7;LOADED;A195;M L Yeung;R Gibson;123;1055;3;11;10;11;1.10.60;70,06;2016-713;GHOSTZAPPER;SILVERPOCKETSFULL;INDIAN CHARLIE
10;5;LOADED;A195;O Doleuze;R Gibson;129;1041;9;10;9;10;1.10.63;70,063;2016-496;GHOSTZAPPER;SILVERPOCKETSFULL;INDIAN CHARLIE
12;7;LOADED;A195;K C Leung;R Gibson;123;1051;4;9;10;12;1.11.03;71,003;2016-765;GHOSTZAPPER;SILVERPOCKETSFULL;INDIAN CHARLIE
4;5;LODE;H_GFATH_095;Legacy Jockey;Legacy Trainer;128;1160;10;6;3;2;2.15;133;2002-708;NATIVE DANCER;DAM OF LODE;NASRULLAH
5;1;LONHRO;H_FATH_052;L. Dettori;C. Appleby;126;1134;3;4;2;1;1.43;107;2010-183;NORTHERN DANCER;DAM OF LONHRO;NEARCO
1;3;LOOK ERAS;V123;Y T Cheng;Y S Tsui;129;1020;5;3;3;1;0.56.61;56,061;2015-545;DREAM AHEAD;ARABIAN ART;E DUBAI
7;1;LOOK ERAS;V123;H N Wong;Y S Tsui;126;1023;2;8;6;7;0.57.25;57,025;2015-706;DREAM AHEAD;ARABIAN ART;E DUBAI
2;1;LOOK ERAS;V123;K K Chiong;Y S Tsui;123;1021;7;4;1;2;0.57.27;57,027;2015-601;DREAM AHEAD;ARABIAN ART;E DUBAI
9;7;LOOK ERAS;V123;H N Wong;Y S Tsui;111;1039;3;2;2;9;1.09.65;69,065;2016-577;DREAM AHEAD;ARABIAN ART;E DUBAI
5;2;LOOK ERAS;V123;O Bosson;Y S Tsui;133;1031;3;6;5;5;1.09.94;69,094;2015-754;DREAM AHEAD;ARABIAN ART;E DUBAI
9;11;LOOK ERAS;V123;C Y Ho;Y S Tsui;115;1038;5;2;3;9;1.09.98;69,098;2016-054;DREAM AHEAD;ARABIAN ART;E DUBAI
5;1;LOOK ERAS;V123;H T Mo;Y S Tsui;123;1038;11;2;1;5;1.10.00;70;2016-691;DREAM AHEAD;ARABIAN ART;E DUBAI
4;1;LOOK ERAS;V123;N Rawiller;Y S Tsui;131;1037;1;3;3;4;1.10.04;70,004;2016-158;DREAM AHEAD;ARABIAN ART;E DUBAI
9;6;LOOK ERAS;V123;H N Wong;Y S Tsui;110;1040;12;5;6;9;1.10.24;70,024;2016-024;DREAM AHEAD;ARABIAN ART;E DUBAI
7;14;LOOK ERAS;V123;H N Wong;Y S Tsui;111;1044;12;8;8;7;1.10.33;70,033;2016-633;DREAM AHEAD;ARABIAN ART;E DUBAI
8;12;LOOK ERAS;V123;H N Wong;Y S Tsui;108;1050;4;8;9;8;1.11.11;71,011;2016-668;DREAM AHEAD;ARABIAN ART;E DUBAI
1;9;LOTTIE DOD;H_MOTH_208;J. Doyle;M. Johnston;121;1035;5;1;1;4;1.41;114;2010-403;INVINCIBLE SPIRIT;DAM OF LOTTIE DOD;MR. PROSPECTOR
10;11;LOTUS BREEZE;T112;D Lane;W Y So;122;1038;5;14;13;10;0.56.26;56,026;2014-587;OASIS DREAM;EBADIYLA;SADLER'S WELLS
2;11;LOTUS BREEZE;T112;T H So;W Y So;112;1076;7;7;3;2;1.09.19;69,019;2016-024;OASIS DREAM;EBADIYLA;SADLER'S WELLS
1;12;LOTUS BREEZE;T112;J Moreira;W Y So;117;1076;2;4;4;1;1.09.40;69,04;2016-054;OASIS DREAM;EBADIYLA;SADLER'S WELLS
6;5;LOTUS BREEZE;T112;D Whyte;W Y So;123;1089;6;9;10;6;1.09.41;69,041;2016-219;OASIS DREAM;EBADIYLA;SADLER'S WELLS
1;10;LOTUS BREEZE;T112;J Moreira;W Y So;121;1094;5;4;4;1;1.09.76;69,076;2016-514;OASIS DREAM;EBADIYLA;SADLER'S WELLS
5;13;LOTUS BREEZE;T112;T H So;W Y So;114;1078;14;8;8;5;1.09.76;69,076;2016-008;OASIS DREAM;EBADIYLA;SADLER'S WELLS
5;7;LOTUS BREEZE;T112;N Callan;W Y So;122;1095;4;5;4;5;1.09.78;69,078;2016-184;OASIS DREAM;EBADIYLA;SADLER'S WELLS
1;4;LOTUS BREEZE;T112;B Prebble;W Y So;127;1087;1;4;3;1;1.10.03;70,003;2016-623;OASIS DREAM;EBADIYLA;SADLER'S WELLS
7;6;LOTUS BREEZE;T112;C Y Ho;W Y So;121;1048;2;11;11;7;1.10.18;70,018;2014-560;OASIS DREAM;EBADIYLA;SADLER'S WELLS
4;2;LOTUS BREEZE;T112;D Whyte;W Y So;130;1090;6;6;5;4;1.10.21;70,021;2016-678;OASIS DREAM;EBADIYLA;SADLER'S WELLS
10;2;LOTUS BREEZE;T112;B Prebble;W Y So;130;1088;7;10;12;10;1.10.26;70,026;2016-732;OASIS DREAM;EBADIYLA;SADLER'S WELLS
10;9;LOTUS BREEZE;T112;C Y Ho;W Y So;114;1059;10;11;11;10;1.10.27;70,027;2014-334;OASIS DREAM;EBADIYLA;SADLER'S WELLS
9;1;LOTUS BREEZE;T112;G Mosse;W Y So;133;1057;13;13;12;9;1.10.28;70,028;2015-009;OASIS DREAM;EBADIYLA;SADLER'S WELLS
2;11;LOTUS BREEZE;T112;M Chadwick;W Y So;118;1098;5;1;1;2;1.10.29;70,029;2016-480;OASIS DREAM;EBADIYLA;SADLER'S WELLS
5;4;LOTUS BREEZE;T112;N Rawiller;W Y So;125;1091;9;4;4;5;1.10.48;70,048;2016-569;OASIS DREAM;EBADIYLA;SADLER'S WELLS
6;8;LOTUS BREEZE;T112;K C Leung;W Y So;123;1064;4;7;8;6;1.10.52;70,052;2015-634;OASIS DREAM;EBADIYLA;SADLER'S WELLS
2;1;LOTUS BREEZE;T112;B Prebble;W Y So;133;1070;2;3;3;2;1.11.08;71,008;2015-142;OASIS DREAM;EBADIYLA;SADLER'S WELLS
8;1;LOUP SAUVAGE;H_GFATH_098;Legacy Jockey;Legacy Trainer;128;1122;7;8;2;6;2.16;137;2000-969;NEARCO;DAM OF LOUP SAUVAGE;HYPERION
2;7;LOVE AND BUBBLES;H_MOTH_118;W. Buick;W. Haggas;121;1054;6;3;3;2;1.53;110;2010-476;LOUP SAUVAGE;DAM OF LOVE AND BUBBLES;MR. PROSPECTOR
5;12;LUCKY BEAUTY;H_MOTH_009;O. Murphy;Sir Michael Stoute;121;1076;6;4;1;3;1.54;108;2010-441;PEINTRE CELEBRE;DAM OF LUCKY BEAUTY;SECRETARIAT
12;5;LUCKY GUY;T349;G Mosse;C H Yip;126;1202;4;10;11;12;0.57.98;57,098;2015-288;DOMESDAY;TINTORETTO;COMMANDS
1;5;LUCKY GUY;T349;Z Purton;C H Yip;122;1184;12;7;6;1;1.08.88;68,088;2016-577;DOMESDAY;TINTORETTO;COMMANDS
1;11;LUCKY GUY;T349;C Williams;C H Yip;114;1208;1;6;6;1;1.09.15;69,015;2016-160;DOMESDAY;TINTORETTO;COMMANDS
2;11;LUCKY GUY;T349;Z Purton;C H Yip;122;1189;11;9;8;2;1.09.20;69,02;2016-539;DOMESDAY;TINTORETTO;COMMANDS
2;14;LUCKY GUY;T349;T H So;C H Yip;111;1198;7;7;6;2;1.09.29;69,029;2016-070;DOMESDAY;TINTORETTO;COMMANDS
4;8;LUCKY GUY;T349;K Teetan;C H Yip;120;1206;6;8;9;4;1.09.90;69,09;2016-274;DOMESDAY;TINTORETTO;COMMANDS
9;4;LUCKY GUY;T349;Z Purton;C H Yip;130;1215;14;10;8;9;1.10.22;70,022;2016-778;DOMESDAY;TINTORETTO;COMMANDS
7;4;LUCKY GUY;T349;V Cheminaud;C H Yip;124;1199;10;7;8;7;1.10.36;70,036;2015-230;DOMESDAY;TINTORETTO;COMMANDS
5;3;LUCKY GUY;T349;Z Purton;C H Yip;128;1198;6;5;4;5;1.10.89;70,089;2016-668;DOMESDAY;TINTORETTO;COMMANDS
9;7;LUCKY GUY;T349;K K Chiong;C H Yip;115;1175;10;9;11;9;1.11.03;71,003;2015-742;DOMESDAY;TINTORETTO;COMMANDS
1;12;LUNAR ZEPHYR;V385;M F Poon;T P Yung;109;1038;8;3;3;1;0.56.88;56,088;2016-715;COMMANDS;GEMADAILY;STRATEGIC
2;11;LUNAR ZEPHYR;V385;K C Leung;T P Yung;116;1042;11;3;3;2;0.57.61;57,061;2016-680;COMMANDS;GEMADAILY;STRATEGIC
5;6;LUNAR ZEPHYR;V385;K C Leung;T P Yung;121;1047;1;1;1;5;0.57.69;57,069;2016-510;COMMANDS;GEMADAILY;STRATEGIC
7;9;LUNAR ZEPHYR;V385;K C Leung;T P Yung;118;1043;12;6;5;7;0.57.81;57,081;2016-620;COMMANDS;GEMADAILY;STRATEGIC
6;6;LUNAR ZEPHYR;V385;M L Yeung;T P Yung;123;1054;12;3;3;6;0.57.98;57,098;2016-474;COMMANDS;GEMADAILY;STRATEGIC
5;9;LUNAR ZEPHYR;V385;M L Yeung;T P Yung;119;1042;12;11;10;5;0.58.01;58,001;2016-584;COMMANDS;GEMADAILY;STRATEGIC
13;7;LUNAR ZEPHYR;V385;N Rawiller;T P Yung;126;1039;13;1;1;13;1.00.01;60,001;2016-352;COMMANDS;GEMADAILY;STRATEGIC
5;10;LUSCIOUS LEGS;H_MOTH_037;O. Murphy;M. Johnston;121;1027;12;2;5;2;1.52;105;2010-545;PINS;DAM OF LUSCIOUS LEGS;SECRETARIAT
3;6;MACHIAVELLIAN;H_GFATH_061;Legacy Jockey;Legacy Trainer;128;1177;12;2;6;2;2.13;130;2000-969;NATIVE DANCER;DAM OF MACHIAVELLIAN;NASRULLAH
1;6;MAGIC ALBERT;H_FATH_112;L. Dettori;C. Appleby;126;1087;10;5;3;3;1.38;108;2009-190;NORTHERN DANCER;DAM OF MAGIC ALBERT;NEARCO
3;1;MAGIC LEGEND;A170;D Whyte;J Moore;133;1018;13;6;5;3;0.56.07;56,007;2016-630;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
1;10;MAGIC LEGEND;A170;D Whyte;J Moore;126;1031;6;4;4;1;0.56.59;56,059;2016-412;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
1;1;MAGIC LEGEND;A170;D Whyte;J Moore;133;1029;1;2;2;1;0.56.76;56,076;2016-448;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
1;3;MAGIC LEGEND;A170;D Whyte;J Moore;127;1017;6;2;4;1;1.08.64;68,064;2016-578;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
4;9;MAGIC LEGEND;A170;K Teetan;J Moore;113;1033;1;3;4;4;1.09.43;69,043;2016-686;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
1;6;MAGIC LEGEND;A170;D Whyte;J Moore;126;1021;8;1;1;1;1.09.84;69,084;2016-523;RED ELEMENT;TRAIL OF SECRETS;SECRET SAVINGS
4;5;MAGIC STAR;T266;J Moreira;P O'Sullivan;125;1161;4;10;7;4;0.57.83;57,083;2014-762;SCAT DADDY;MEADOW BREEZE;MEADOWLAKE
9;10;MAGIC STAR;T266;Z Purton;P O'Sullivan;122;1123;5;7;8;9;1.10.54;70,054;2015-651;SCAT DADDY;MEADOW BREEZE;MEADOWLAKE
13;14;MAGIC STAR;T266;K C Leung;P O'Sullivan;115;1147;7;13;12;13;1.10.94;70,094;2016-122;SCAT DADDY;MEADOW BREEZE;MEADOWLAKE
4;5;MAGNUS;H_FATH_064;R. Moore;John Gosden;126;1109;2;2;3;1;1.58;112;2008-295;NORTHERN DANCER;DAM OF MAGNUS;NEARCO
5;6;MAHLER;H_FATH_058;L. Dettori;John Gosden;126;1142;2;4;3;3;1.49;117;2006-139;NORTHERN DANCER;DAM OF MAHLER;NEARCO
1;4;MAJORIEN;H_GFATH_134;Legacy Jockey;Legacy Trainer;128;1113;8;4;1;1;2.18;140;2000-799;NEARCO;DAM OF MAJORIEN;HYPERION
4;1;MAKFI;H_FATH_113;R. Moore;C. Appleby;126;1119;6;1;2;1;1.56;110;2011-157;SADLER'S WELLS;DAM OF MAKFI;BOLD RULER
1;9;MANHATTAN RAIN;H_FATH_110;C. Soumillon;A. P. O'Brien;126;1135;8;2;4;2;1.49;107;2006-206;NORTHERN DANCER;DAM OF MANHATTAN RAIN;NEARCO
1;3;MARAUDING;H_GFATH_064;Legacy Jockey;Legacy Trainer;128;1133;3;7;5;5;2.20;120;2000-969;NEARCO;DAM OF MARAUDING;HYPERION
6;7;MARBLE GAME;H_MOTH_198;J. Doyle;W. Haggas;121;1072;1;2;2;2;1.45;108;2007-592;ORPEN;DAM OF MARBLE GAME;MR. PROSPECTOR
3;5;MASTER ALBERT;A296;J Moreira;W Y So;124;1094;10;10;9;3;1.09.35;69,035;2016-720;MAGIC ALBERT;KATE OF CLONMEL;BIANCONI
4;6;MASTER ALBERT;A296;J Moreira;W Y So;126;1098;13;9;9;4;1.09.69;69,069;2016-778;MAGIC ALBERT;KATE OF CLONMEL;BIANCONI
13;3;MASTER GOLD;T325;Y T Cheng;L Ho;130;1078;3;14;14;13;1.10.87;70,087;2015-745;MASTERSTROKE;FLECHE RESTEE;RESTE TRANQUILLE
3;11;MASTERCRAFTSMAN;H_GFATH_048;Legacy Jockey;Legacy Trainer;128;1130;2;5;5;1;2.06;130;2003-849;NORTHERN DANCER;DAM OF MASTERCRAFTSMAN;NEARCO
2;5;MASTERCRAFTSMAN;H_FATH_140;R. Moore;C. Appleby;126;1098;7;1;2;2;1.46;95;2006-206;NORTHERN DANCER;DAM OF MASTERCRAFTSMAN;NEARCO
3;3;MASTERSTROKE;H_FATH_142;L. Dettori;A. P. O'Brien;126;1116;8;2;4;2;1.54;95;2011-120;NORTHERN DANCER;DAM OF MASTERSTROKE;NEARCO
3;9;MEADOW BREEZE;H_MOTH_080;J. Doyle;M. Johnston;121;1024;3;3;1;2;1.53;99;2012-504;MEADOWLAKE;DAM OF MEADOW BREEZE;MR. PROSPECTOR
3;10;MEADOWLAKE;H_GFATH_066;Legacy Jockey;Legacy Trainer;128;1165;5;3;6;6;2.10;134;2000-906;NEARCO;DAM OF MEADOWLAKE;HYPERION
3;9;MEDAGLIA D'ORO;H_FATH_030;R. Moore;John Gosden;126;1086;2;4;3;1;1.35;105;2007-297;NORTHERN DANCER;DAM OF MEDAGLIA D'ORO;NEARCO
1;10;MEGA RED;V078;K Teetan;C Fownes;116;1133;4;7;5;1;1.08.12;68,012;2016-759;MORE THAN READY;SPECIAL CUVEE;FASLIYEV
1;4;MEGA RED;V078;K Teetan;K W Lui;128;1143;5;12;8;1;1.08.52;68,052;2016-429;MORE THAN READY;SPECIAL CUVEE;FASLIYEV
2;2;MEGA RED;V078;K Teetan;K W Lui;133;1142;9;10;11;2;1.08.60;68,06;2016-460;MORE THAN READY;SPECIAL CUVEE;FASLIYEV
